catalog,man,bran,year,circa,surf,textureWord,glossWord,colorWord,thicknessWord,dims,backp,postcard,toner,resin,sb,sbid,suffs,dmin,dmax,dminHex,dmaxHex,auc,roughness,gloss,thickness,expressiveness,radarGroup,expressivenessGroup,isoGroup,gep100,gep150,gep200,gep250,gep300,tmap,processing
20e,Kodak,,1941,0,,Smooth,Matte,,,,,0,,0,1,20,,,,,,,,5.514,,,,,,"[561, 755, 0]","[620, 586, 0]","[641, 642, 0]","[618, 581, 0]","[534, 793, 0]","[795, 748, 0]",0
20f,Kodak,,1941,0,,Smooth,Semi Matte,,,,,0,,0,1,20,,,,,,,,2.417,,,,,,"[621, 584, 0]","[736, 667, 0]","[667, 648, 0]","[732, 644, 0]","[674, 597, 0]","[671, 525, 0]",0
20g,Kodak,,1941,0,,Fine Grained,Matte,,,,,0,,0,1,20,,,,,,,,4.13,,,,,,"[738, 637, 0]","[608, 568, 0]","[514, 509, 0]","[525, 625, 0]","[533, 776, 0]","[579, 519, 0]",0
20h,Kodak,,1941,0,,Rough,Matte,,,,,0,,0,1,20,,,,,,,,7.994,,,,,,"[530, 529, 0]","[797, 791, 0]","[690, 531, 0]","[567, 657, 0]","[691, 560, 0]","[766, 778, 0]",0
20i,Kodak,,1941,0,,Rough,Luster,,,,,0,,0,1,20,,,,,,,,9.946,,,,,,"[665, 616, 0]","[518, 702, 0]","[520, 509, 0]","[783, 531, 0]","[568, 511, 0]","[741, 785, 0]",0
20j,Kodak,,1941,0,,Silk,Luster,,,,,0,,0,1,20,,,,,,,,2.092,,,,,,"[638, 754, 0]","[773, 775, 0]","[584, 693, 0]","[633, 757, 0]","[699, 745, 0]","[575, 546, 0]",0
20k,Kodak,,1941,0,,Tapestry,Luster,,,,,0,,0,1,20,,,,,,,,86.942,,,,,,"[743, 611, 0]","[736, 604, 0]","[514, 655, 0]","[501, 648, 0]","[515, 572, 0]","[789, 775, 0]",0
20l,Kodak,,1941,0,,Suede,Matte,,,,,0,,0,1,20,,,,,,,,85.763,,,,,,"[509, 642, 0]","[527, 653, 0]","[577, 709, 0]","[578, 684, 0]","[610, 605, 0]","[519, 611, 0]",0
24,Kodak,Velox,1915,0,Carbon (Velox),,Matte,,,3.5 x 4.5,,0,,0,0,,v,8.8,,#ebe6d6,,0.13,0.037,3.116,0.17,1.558,0_0_2_2,2.0,0.0,"[6, -6, 0]","[20, -1, 0]","[35, -1, 0]","[53, -1, 0]","[76, -2, 0]","[36.0, 36.0, 1]",0
25,Kodak,Velox,1921,0,Velvet (Velox),,Semi Glossy,,Single Weight,2.5 x 3.5,,0,,0,0,,v,9.46,,#e5dfcd,,0.196,0.044,13.197,0.163,1.535,0_0_2_3,1.0,0.0,"[-1, -10, 0]","[10, 0, 0]","[22, 1, 0]","[35, 1, 0]","[52, 1, 0]","[36.0, 36.0, 0]",0
