catalog,man,bran,year,circa,surf,textureWord,glossWord,colorWord,thicknessWord,dims,backp,postcard,toner,resin,sb,sbid,suffs,dmin,dmax,dminHex,dmaxHex,auc,roughness,gloss,thickness,expressiveness,radarGroup,expressivenessGroup,isoGroup,gep100,gep150,gep200,gep250,gep300,tmap,processing
2382,Ansco,Indiatone,1955,0,B (Brilliant),Finely Stippled,High Sheen,Natural White,Double Weight,8 x 10,,0,,0,0,,v,12.79,,#f4edd4,,0.314,0.092,12.297,0.312,1.934,1_0_3_4,3.0,1.0,"[-17, 16, 0]","[-13, 30, 0]","[-32, 39, 0]","[-48, 49, 0]","[-68, 59, 0]","[81.0, 60.0, 0]",0
2383,Bergger,Prestige,2006,0,,,Glossy,,Double Weight,8 x 10,,0,,0,0,,v,-0.73,,#f2f2f4,,6.384,0.015,48.339,0.27,1.22,1_2_0_1,0.0,1.0,"[37, -11, 0]","[82, -13, 0]","[148, -18, 0]","[232, -22, 0]","[335, -27, 0]","[26.0, 45.0, 0]",1
2384,Ilford,Multigrade IV,2005,0,1K,,Glossy,,Double Weight,8 x 10,,0,,0,0,,v,-1.73,,#f7f5f9,,8.923,0.013,62.865,0.288,1.149,1_2_0_0,0.0,1.0,"[35, 0, 0]","[85, 4, 0]","[149, 5, 0]","[233, 6, 0]","[335, 7, 0]","[27.0, 47.0, 0]",1
2385,Kentmere,Fineprint,2006,1,,,Glossy,,Double Weight,8 x 10,,0,,0,0,,v,-4.27,,#efeef7,,8.6,0.018,67.956,0.285,1.083,1_2_0_1,0.0,1.0,"[37, -17, 0]","[82, -11, 0]","[148, -16, 0]","[232, -20, 0]","[335, -25, 0]","[26.0, 41.0, 2]",1
2386,Oriental,Seagull,2006,0,G,Smooth,Glossy,Pure White,Double Weight,8 x 10,,0,,0,0,,v,-3.85,,#efeef6,,8.347,0.017,67.93,0.279,1.082,1_2_0_1,0.0,1.0,"[36, -17, 0]","[87, -12, 0]","[153, -17, 0]","[237, -21, 0]","[340, -26, 0]","[27.0, 46.0, 4]",1
2387,Fotospeed,Lith,2006,0,,,Semi Matte,,Double Weight,8 x 10,,0,,0,0,,v,1.68,,#f2f2ee,,1.944,0.067,14.243,0.27,1.572,1_0_1_4,2.0,1.0,"[11, 26, 0]","[35, 38, 0]","[59, 50, 0]","[93, 61, 0]","[135, 73, 0]","[71.0, 60.0, 0]",0
2388,Forte,Elegance,2006,0,,Smooth,Glossy,White,Double Weight,11 x 14,,0,,0,0,,v,-0.31,,#f3f3f3,,5.44,0.016,45.559,0.27,1.245,1_2_0_1,0.0,1.0,"[38, -12, 0]","[84, -17, 0]","[150, -22, 0]","[234, -26, 0]","[337, -31, 0]","[26.0, 45.0, 2]",1
2389,Agfa Gevaert,Portriga Rapid,1983,1,118,Fine Grained,Matte,,Double Weight,8 x 10,A10,0,,0,0,,v,6.69,,#f8f3e6,,1.642,0.032,13.318,0.283,1.604,1_0_2_2,2.0,1.0,"[12, 40, 0]","[16, 46, 0]","[30, 50, 0]","[27, 63, 0]","[48, 63, 0]","[74.0, 55.0, 0]",0
2390,Ilford,Bromide,1940,1,5P,,Matte,,Single Weight,12 x 15,,0,,0,0,,v|b,3.88,,#eae8e0,,0.166,0.026,3.372,0.165,1.42,0_0_1_1,1.0,0.0,"[27, 5, 0]","[39, 15, 0]","[74, 15, 0]","[103, 15, 0]","[159, 15, 0]","[41.0, 28.0, 0]",0
2391,Kodak London,Bromide,1945,1,BBS,Smooth,,Crayon Black,Single Weight,12 x 15,,0,,0,0,,l|r|b|v,4.23,,#eae7df,,0.194,0.024,3.567,0.172,1.431,0_0_1_1,1.0,0.0,"[15, -9, 0]","[35, 13, 0]","[73, 10, 0]","[108, 11, 0]","[158, 23, 0]","[38.0, 34.0, 1]",0
2392_a,Luminos,Flexicon,1998,1,F,Smooth,Glossy,White,Medium Weight,8 x 10,,0,,1,0,,v|b|_a,-0.77,,#ebe7ea,,4.665,0.008,97.487,0.24,0.926,1_4_0_0,0.0,1.0,"[49, -40, 0]","[107, -60, 0]","[199, -81, 0]","[309, -102, 0]","[444, -122, 0]","[15.0, 17.0, 1]",0
2392_b,Luminos,Flexicon,1998,1,Pearl,,,,Medium Weight,8 x 10,,0,,1,0,,v|b|_b,-1.69,,#eae5ea,,5.162,0.028,22.382,0.24,1.32,1_1_0_1,1.0,1.0,"[34, 9, 0]","[77, 13, 0]","[135, 18, 0]","[211, 23, 0]","[305, 28, 0]","[38.0, 81.0, 1]",0
2392_c,Luminos,Flexicon,1998,1,R Art,Rough,,,Medium Weight,8 x 10,,0,,1,0,,v|b|_c,4.37,,#e9dfd8,,3.613,0.064,4.867,0.229,1.612,1_0_1_4,2.0,1.0,"[10, 26, 0]","[34, 38, 0]","[64, 49, 0]","[98, 60, 0]","[140, 72, 0]","[89.0, 43.0, 0]",0
2392_d,Luminos,Flexicon,1998,1,Premiere,,Semi Matte,,Double Weight,8 x 10,,0,,0,0,,v|b|_d,10.18,,#f5eedb,,1.448,0.067,11.195,0.291,1.789,1_0_2_4,2.0,1.0,"[1, 31, 0]","[2, 38, 0]","[3, 50, 0]","[3, 62, 0]","[4, 73, 0]","[80.0, 61.0, 0]",0
2392_e,Luminos,Flexicon,1998,1,Premiere,,Semi Matte,,Double Weight,8 x 10,,0,,0,0,,v|b|_e,-3.11,,#edebf2,,7.73,0.063,11.553,0.289,1.504,1_0_0_4,1.0,1.0,"[24, 17, 0]","[61, 30, 0]","[110, 41, 0]","[172, 51, 0]","[249, 61, 0]","[80.0, 60.0, 1]",0
2392_f,Luminos,Flexicon,1998,1,R Charcoal,Textured,,,Premium Weight,8 x 10,,0,,0,0,,v|b|_f,10.84,,#f6f0db,,0.666,0.073,7.441,0.394,1.972,1_0_2_4,3.0,1.0,"[-26, 25, 0]","[-5, 24, 0]","[-3, 54, 0]","[-3, 52, 0]","[-2, 63, 0]","[68.0, 36.0, 0]",0
2392_g,Luminos,Flexicon,1998,1,Antique Ivory,,,Antique Ivory,Medium Weight,8 x 10,,0,,1,0,,v|b|_g,21.67,,#f3e2ba,,1.059,0.027,19.911,0.249,1.821,1_1_4_1,2.0,1.0,"[-12, 4, 0]","[-22, 11, 0]","[-40, 15, 0]","[-63, 18, 0]","[-91, 22, 0]","[39.0, 81.0, 0]",0
2393,Kodak London,Bromide,1952,1,WSG,Smooth,Glossy,White,Double Weight,8 x 10,,0,,0,0,,v,3.66,,#f0ebe5,,3.379,0.017,60.461,0.286,1.28,1_2_1_1,0.0,1.0,"[30, -16, 0]","[78, -16, 0]","[137, -21, 0]","[213, -27, 0]","[306, -32, 0]","[34.0, 50.0, 2]",1
2394,Kodak London,Bromide,1952,1,WSM.D.,Smooth,Matte,White,Double Weight,8 x 10,,0,,0,0,,v,6.43,,#f5efe3,,3.15,0.046,5.092,0.312,1.712,1_0_1_3,2.0,1.0,"[7, 16, 0]","[27, 32, 0]","[54, 41, 0]","[83, 52, 0]","[119, 62, 0]","[55.0, 7.0, 1]",0
2395,Forte,Polygrade V,1999,1,,Smooth,Semi Matte,White,Double Weight,8 x 10,,0,,0,0,,v,,,,,,,,,,,,,"[675, 719, 0]","[582, 700, 0]","[582, 587, 0]","[649, 799, 0]","[671, 799, 0]","[627, 721, 0]",0
2397,Ilford,Multigrade IV,1999,1,5K,,Matte,,Double Weight,8 x 10,,0,,0,0,,v,5.56,,#f3ebe1,,6.131,0.02,2.83,0.3,1.619,1_0_1_1,2.0,1.0,"[24, 23, 0]","[36, 20, 0]","[57, 39, 0]","[91, 41, 0]","[133, 50, 0]","[54.0, 58.0, 1]",0
2398,Ilford,Multigrade IV,2000,1,1K,,Glossy,,Double Weight,8 x 10,,0,,0,0,,v,1.3,,#f6f1f0,,7.424,0.016,49.982,0.28,1.27,1_2_1_1,0.0,1.0,"[32, -21, 0]","[72, -15, 0]","[139, -22, 0]","[215, -28, 0]","[308, -33, 0]","[53.0, 58.0, 2]",0
2401,Kodak,Polycontrast III,1997,1,F,Smooth,Glossy,White,Medium Weight,8 x 10,,0,,1,0,,v,,,,,,,94.549,0.268,,,,1.0,"[574, 574, 0]","[544, 545, 0]","[775, 559, 0]","[619, 585, 0]","[632, 562, 0]","[766, 549, 0]",0
2402,Kodak,Polycontrast,1979,1,F,Smooth,Glossy,White,Double Weight,8 x 10,,0,,0,0,,v,5.54,,#f7f3e9,,1.133,0.018,24.182,0.253,1.449,1_1_1_1,1.0,1.0,"[21, 8, 0]","[54, 15, 0]","[96, 20, 0]","[151, 25, 0]","[218, 29, 0]","[41.0, 77.0, 1]",0
2403,Kodak,Polycontrast Rapid II,1980,1,F,Smooth,Glossy,White,Medium Weight,8 x 10,K11,0,,1,0,,v,5.74,,#f3f1e5,,1.181,0.008,86.178,0.222,1.09,1_4_1_0,0.0,1.0,"[41, -32, 0]","[101, -52, 0]","[177, -74, 0]","[270, -97, 0]","[404, -120, 0]","[11.0, 25.0, 0]",0
2404,Ilford,Ilfobrom,1974,1,27K,Velvet,Luster,,Double Weight,8 x 10,,0,,0,0,,v,7.21,,#f3ebde,,4.149,0.036,21.66,0.334,1.65,1_1_2_2,2.0,1.0,"[2, 14, 0]","[10, 26, 0]","[17, 35, 0]","[26, 43, 0]","[38, 52, 0]","[87.0, 42.0, 2]",0
2405,Ilford,Multigrade IV,1995,1,1K,,Glossy,,Double Weight,8 x 10,,0,,0,0,,v,0.4,,#f6f2f2,,8.233,0.015,59.004,0.285,1.213,1_2_1_1,0.0,1.0,"[22, -19, 0]","[80, -21, 0]","[132, -17, 0]","[206, -24, 0]","[299, -29, 0]","[27.0, 49.0, 2]",1
2406,Kodak,Panalure II,1986,0,F,Smooth,Glossy,White,Medium Weight,8 x 10,K11,0,,1,0,,v,3.21,,#f0f0ea,,1.379,0.008,96.601,0.228,0.997,1_4_1_0,0.0,1.0,"[45, -51, 0]","[98, -57, 0]","[174, -80, 0]","[279, -101, 0]","[401, -121, 0]","[18.0, 13.0, 1]",0
2407,Kodak,Kodabromide,1959,0,F,Smooth,Glossy,White,Double Weight,8 x 10,,0,,0,0,,v,,,,,,0.024,51.76,0.336,,,,1.0,"[736, 792, 0]","[566, 642, 0]","[784, 693, 0]","[649, 783, 0]","[784, 541, 0]","[38.0, 68.0, 1]",1
2408,Kodak,Kodabromide,1959,0,F,Smooth,Glossy,White,Single Weight,8 x 10,,0,,0,0,,v,,,,,,0.026,51.58,0.178,,,,0.0,"[546, 590, 0]","[671, 589, 0]","[536, 600, 0]","[598, 555, 0]","[782, 545, 0]","[30.0, 60.0, 2]",0
2409,Kodak,Kodabromide,1960,0,F,Smooth,Glossy,White,Double Weight,8 x 10,,0,,0,0,,v,4.67,,#e6e5dc,,0.123,0.025,51.31,0.324,1.415,1_2_1_1,1.0,1.0,"[33, -18, 0]","[73, -18, 0]","[137, -24, 0]","[213, -30, 0]","[306, -35, 0]","[33.0, 62.0, 3]",0
2410,Kodak,Kodabromide,1959,0,F,Smooth,Glossy,White,Double Weight,8 x 10,,0,,0,0,,v,,,,,,0.022,56.351,0.337,,,,1.0,"[754, 750, 0]","[788, 660, 0]","[717, 726, 0]","[509, 717, 0]","[603, 554, 0]","[31.0, 59.0, 2]",1
2411,Kodak,Kodabromide,1960,0,F,Smooth,Glossy,White,Double Weight,8 x 10,,0,,0,0,,v,0.6,,#e8e7e6,,0.202,0.019,63.177,0.329,1.264,1_2_1_1,0.0,1.0,"[37, -24, 0]","[81, -23, 0]","[136, -28, 0]","[207, -22, 0]","[300, -27, 0]","[42.0, 59.0, 0]",0
2412,Kodak,Polycontrast III,1992,1,N,Smooth,Semi Matte,White,Medium Weight,8 x 10,,0,,1,0,,v,,,,,,,,,,,,,"[744, 637, 0]","[765, 514, 0]","[519, 633, 0]","[642, 776, 0]","[543, 618, 0]","[773, 664, 0]",0
2413,Zone VI,Brilliant,1995,1,,,Glossy,,Double Weight,8 x 10,,0,,0,0,,b|v,0.56,,#f2f1f0,,5.09,0.017,54.528,0.271,1.224,1_2_1_1,0.0,1.0,"[30, -23, 0]","[71, -16, 0]","[140, -24, 0]","[215, -30, 0]","[308, -35, 0]","[32.0, 52.0, 1]",0
2414,Kodak,Kodabromide,1945,0,G,Fine Grained,Luster,Cream White,Double Weight,8 x 10,,0,,0,0,,v,7.78,,#f0ecdd,,0.185,0.051,9.141,0.361,1.798,1_0_2_3,2.0,1.0,"[2, 36, 0]","[2, 40, 0]","[8, 49, 0]","[25, 54, 0]","[34, 66, 0]","[72.0, 38.0, 0]",0
2415,Kodak,Kodabromide,1945,0,E,Fine Grained,Luster,White,Single Weight,8 x 10,,0,,0,0,,v,3.08,,#eceae4,,0.169,0.038,12.033,0.159,1.387,0_0_1_2,1.0,0.0,"[18, 3, 0]","[40, 6, 0]","[67, 5, 0]","[104, 7, 0]","[150, 9, 0]","[82.0, 55.0, 1]",0
2416,Kodak,Kodabromide,1945,0,E,Fine Grained,Luster,White,Single Weight,8 x 10,,0,,0,0,,v,2.76,,#efede8,,0.128,0.037,6.386,0.173,1.425,0_0_1_2,1.0,0.0,"[17, -5, 0]","[41, 5, 0]","[69, 9, 0]","[106, 11, 0]","[152, 13, 0]","[82.0, 55.0, 0]",0
2417,Kodak,Kodabromide,1945,0,E,Fine Grained,Luster,White,Single Weight,8 x 10,,0,,0,0,,v,5.48,,#efebe1,,0.113,0.032,11.258,0.175,1.445,0_0_1_2,1.0,0.0,"[14, -1, 0]","[36, 4, 0]","[65, 6, 0]","[102, 8, 0]","[148, 10, 0]","[74.0, 49.0, 1]",1
2418,Kodak,Kodabromide,1945,0,F,Smooth,Glossy,White,Single Weight,8 x 10,,0,,0,0,,V|B,0.62,,#e5e3e2,,0.152,0.018,40.382,0.15,1.137,0_2_1_1,0.0,0.0,"[40, 10, 0]","[87, -19, 0]","[125, -11, 0]","[215, -1, 0]","[305, -4, 0]","[24.0, 52.0, 0]",0
2419,Unicolor,Black and White  ,1980,1,J,Fine Grained,,,Medium Weight,8 x 10,,0,,1,0,,v,1.64,,#e8eae7,,1.044,0.057,26.215,0.251,1.464,1_1_1_4,1.0,1.0,"[19, 14, 0]","[57, 22, 0]","[99, 29, 0]","[154, 36, 0]","[221, 44, 0]","[64.0, 56.0, 2]",1
2420,Kodak,Medalist,1974,0,F,Smooth,Glossy,White,Single Weight,8 x 10,,0,,0,0,,v,3.85,,#efede5,,0.223,0.018,60.22,0.165,1.128,0_2_1_1,0.0,0.0,"[45, -20, 0]","[64, -7, 0]","[126, -10, 0]","[210, -19, 0]","[315, -23, 0]","[35.0, 50.0, 3]",0
2423,Ilford,Ilfobrom,1974,1,24K,,Semi Matte,,Double Weight,8 x 10,,0,,0,0,,v,7.45,,#f5ecdf,,3.382,0.019,14.282,0.28,1.575,1_0_2_1,2.0,1.0,"[16, 36, 0]","[23, 35, 0]","[21, 38, 0]","[40, 59, 0]","[65, 62, 0]","[46.0, 53.0, 0]",0
2424,Kodak,Polycontrast,1981,1,J,Smooth,High Luster,White,Double Weight,8 x 10,,0,,0,0,,v,4.13,,#edece4,,0.134,0.018,46.824,0.315,1.394,1_2_1_1,1.0,1.0,"[24, -10, 0]","[80, -17, 0]","[131, -23, 0]","[207, -29, 0]","[300, -34, 0]","[33.0, 53.0, 0]",1
2425,Kodak London,Bromide,1961,0,WSG.S.,Smooth,Glossy,White,Single Weight,8 x 10,,0,,0,0,,v,0.78,,#eae9e7,,3.609,0.013,59.275,0.178,1.073,0_2_1_1,0.0,0.0,"[49, -14, 0]","[91, 0, 0]","[130, 1, 0]","[206, -13, 0]","[320, -19, 0]","[27.0, 41.0, 1]",1
2426,Kodak London,Bromide,1961,1,WSG.S.,Smooth,Glossy,White,Single Weight,8 x 10,,0,,0,0,,v,-0.4,,#ebe9ea,,6.034,0.013,54.583,0.177,1.071,0_2_0_1,0.0,0.0,"[38, -3, 0]","[84, -1, 0]","[149, -3, 0]","[233, -5, 0]","[336, -6, 0]","[27.0, 42.0, 2]",1
2427,Kodak London,Bromide,1956,0,WFL.D.,Fine Grained,Luster,White,Double Weight,8 x 10,,0,,0,0,,v,5.04,,#eee9e0,,3.367,0.034,20.328,0.267,1.521,1_1_1_2,1.0,1.0,"[23, 9, 0]","[56, 18, 0]","[101, 23, 0]","[157, 28, 0]","[228, 34, 0]","[64.0, 50.0, 1]",0
2428,Kodak London,Bromide,1956,0,WFL.D.,Fine,Luster,White,Double Weight,8 x 10,,0,,0,0,,v,4.46,,#efece3,,3.015,0.038,18.713,0.277,1.539,1_0_1_2,1.0,1.0,"[21, 24, 0]","[25, 27, 0]","[52, 42, 0]","[87, 53, 0]","[125, 62, 0]","[69.0, 49.0, 0]",0
2429,Kodak London,Bromide,1955,0,WFL.S.,Fine Grained,Luster,White,Single Weight,8 x 10,,0,,0,0,,v,3.96,,#ebe8e1,,2.538,0.036,16.428,0.176,1.401,0_0_1_2,1.0,0.0,"[18, -2, 0]","[34, 3, 0]","[63, 8, 0]","[100, 10, 0]","[146, 12, 0]","[65.0, 51.0, 0]",0
2430,Kodak London,Bromide,1955,0,WFL.S.,Fine Grained,Luster,White,Single Weight,8 x 10,,0,,0,0,,v,3.64,,#eae8e1,,2.03,0.045,15.69,0.179,1.427,0_0_1_3,1.0,0.0,"[8, 6, 0]","[31, 4, 0]","[59, 12, 0]","[92, 14, 0]","[132, 16, 0]","[65.0, 52.0, 2]",0
2431,Kodak London,Bromide,1956,0,IFL.D.,Fine Grained,Luster,Ivory,Double Weight,8 x 10,,0,,0,0,,v,12.14,,#f1e9d2,,0.169,0.041,17.731,0.262,1.691,1_0_3_3,2.0,1.0,"[-7, 3, 0]","[-10, 20, 0]","[-19, 38, 0]","[-31, 45, 0]","[-54, 51, 0]","[63.0, 48.0, 1]",0
2432,Defender,Velour Black,1943,0,N,,Matte,,Single Weight,8 x 10,,0,,0,0,,b|v,15.12,,#e6ddc0,,0.058,0.08,6.648,0.164,1.78,0_0_3_4,2.0,0.0,"[-3, 0, 0]","[2, -1, 0]","[3, -1, 0]","[5, 0, 0]","[7, 0, 0]","[58.0, 2.0, 1]",0
2433,Kodak,Kodabrome II,1980,1,F,Smooth,Glossy,White,Medium Weight,8 x 10,K11,0,,1,0,,v,4.19,,#f0efe7,,1.29,0.007,96.741,0.238,1.027,1_4_1_0,0.0,1.0,"[37, -35, 0]","[96, -59, 0]","[177, -84, 0]","[278, -97, 0]","[400, -117, 0]","[12.0, 23.0, 1]",0
2434,Kodak,Panalure II,1983,0,F,Smooth,Glossy,White,Medium Weight,8 x 10,K11,0,,1,0,,v,2.98,,#f0f0ea,,1.273,0.007,96.017,0.231,0.997,1_4_1_0,0.0,1.0,"[45, -39, 0]","[98, -59, 0]","[175, -79, 0]","[274, -99, 0]","[396, -119, 0]","[15.0, 18.0, 0]",1
2435,Kodak,Polycontrast Rapid II,1983,1,N,Smooth,Semi Matte,White,Medium Weight,8 x 10,K11,0,,1,0,,v,3.89,,#f1efe8,,2.042,0.023,8.238,0.235,1.482,1_0_1_1,1.0,1.0,"[28, 23, 0]","[33, 18, 0]","[67, 31, 0]","[102, 46, 0]","[144, 52, 0]","[46.0, 81.0, 3]",1
2436,Kodak,Medalist,1974,0,G,Fine Grained,Luster,Cream White,Double Weight,11 x 14,,0,,0,0,,v,9.39,,#f6f0de,,0.201,0.046,9.498,0.347,1.8,1_0_2_3,2.0,1.0,"[0, 19, 0]","[7, 34, 0]","[13, 45, 0]","[20, 56, 0]","[29, 68, 0]","[93.0, 45.0, 2]",0
2437,Kodak,Medalist,1974,0,G,Fine Grained,Luster,Cream White,Double Weight,11 x 14,,0,,0,0,,v,8.98,,#f8f1e0,,0.188,0.045,9.612,0.35,1.79,1_0_2_3,2.0,1.0,"[-1, 21, 0]","[8, 35, 0]","[14, 46, 0]","[21, 57, 0]","[30, 69, 0]","[98.0, 47.0, 1]",1
2438,Agfa Gevaert,Brovira,1974,1,119,Special,Luster,Extra White,Double Weight,11 x 14,A10,0,,0,0,,v,3.79,,#f4f0e9,,5.16,0.06,16.046,0.267,1.585,1_0_1_4,2.0,1.0,"[11, 24, 0]","[35, 32, 0]","[61, 44, 0]","[95, 55, 0]","[137, 67, 0]","[86.0, 56.0, 2]",0
2439,Agfa Gevaert,Brovira,1974,1,119,Special,Luster,Extra White,Double Weight,11 x 14,A10,0,,0,0,,v,3.7,,#f5f0ea,,5.185,0.054,19.131,0.269,1.556,1_1_1_3,2.0,1.0,"[25, 11, 0]","[51, 20, 0]","[99, 27, 0]","[153, 33, 0]","[219, 39, 0]","[86.0, 55.0, 0]",0
2440,Kodak,Polycontrast Rapid II,1980,1,E,Fine Grained,Luster,White,Medium Weight,5 x 7,K11,0,,0,0,,v,3.85,,#f1efe7,,2.312,0.039,28.479,0.23,1.422,1_1_1_2,1.0,1.0,"[24, 8, 0]","[58, 17, 0]","[103, 22, 0]","[159, 27, 0]","[230, 33, 0]","[48.0, 67.0, 0]",0
2441,Kodak,Polycontrast Rapid II,1982,0,F,Smooth,Glossy,White,Medium Weight,5 x 7,K11,0,,1,0,,v,3.96,,#f3f2ea,,2.321,0.007,97.561,0.225,1.0,1_4_1_0,0.0,1.0,"[37, -34, 0]","[105, -58, 0]","[177, -76, 0]","[280, -98, 0]","[402, -118, 0]","[17.0, 16.0, 2]",1
2442,Ilford,Multigrade IV,1997,1,1M,,Glossy,,Medium Weight,5 x 7,,0,,1,0,,v,-3.85,,#eeedf5,,7.258,0.007,97.053,0.24,0.862,1_4_0_0,0.0,1.0,"[48, -42, 0]","[112, -61, 0]","[198, -81, 0]","[308, -102, 0]","[443, -122, 0]","[19.0, 10.0, 0]",1
2443,Haloid,Rito,1932,1,,,Semi Matte,,Double Weight,postcards,,1,,0,0,,b|V,19.2,,#deceac,,0.18,0.04,5.095,0.286,1.924,1_0_4_2,3.0,1.0,"[-17, 7, 0]","[-28, 18, 0]","[-49, 24, 0]","[-76, 29, 0]","[-109, 35, 0]","[42.0, 16.0, 2]",0
2444,Kodak,Vitava Athena,1929,0,R (Vitava),Linen,Slight Luster,White,Double Weight,8 x 10,,0,,0,0,,v,18.08,,#e7d8b7,,0.129,0.134,3.639,0.283,2.159,1_0_4_6,3.0,1.0,"[-20, 22, 0]","[-35, 36, 0]","[-62, 48, 0]","[-97, 60, 0]","[-140, 72, 0]","[72.0, 86.0, 0]",1
2445,Kodak,Vitava Rapid Black,1929,0,C (Vitava),Smooth,Matte,White,Double Weight,8 x 10,,0,,0,0,,v,13.41,,#f0e5cc,,0.22,0.03,3.368,0.287,1.789,1_0_3_2,2.0,1.0,"[-5, 11, 0]","[-7, 26, 0]","[-17, 33, 0]","[-26, 41, 0]","[-36, 49, 0]","[46.0, 18.0, 0]",0
2446,Kodak,Vitava Rapid Black,1928,0,B (Vitava),Smooth,Semi Matte,White,Double Weight,8 x 10,,0,,0,0,,v,24.3,,#ecd7ab,,0.155,0.066,8.613,0.373,2.196,1_0_5_4,3.0,1.0,"[-25, 5, 0]","[-45, 16, 0]","[-81, 21, 0]","[-127, 25, 0]","[-183, 30, 0]","[65.0, 32.0, 1]",0
2447,Kodak,Vitava Athena,1928,0,F (Vitava),Smooth,Glossy,White,Single Weight,8 x 10,,0,,0,0,,v,11.73,,#e8e2cb,,0.161,0.06,27.626,0.155,1.544,0_1_2_4,1.0,0.0,"[4, -13, 0]","[16, -15, 0]","[29, -20, 0]","[45, -24, 0]","[66, -29, 0]","[52.0, 2.0, 0]",0
2448,Defender,Argotone,1917,0,,Smooth,Matte,White,Double Weight,8 x 10,,0,,0,0,,v,11.0,,#ddd4c0,,0.041,0.046,2.22,0.303,1.807,1_0_2_3,2.0,1.0,"[-15, 37, 0]","[11, 46, 0]","[16, 38, 0]","[17, 50, 0]","[26, 62, 0]","[37.0, 29.0, 2]",0
2449,Defender,Argotone,1917,0,,,Semi Matte,White,Single Weight,8 x 10,,0,,0,0,,v,14.23,,#d5cab0,,0.029,0.058,6.916,0.139,1.669,0_0_3_4,2.0,0.0,"[-3, -1, 0]","[3, 1, 0]","[4, 1, 0]","[6, 2, 0]","[8, 2, 0]","[67.0, 30.0, 0]",0
2450,Ansco,Cyko,1917,0,Buff,Linen,Matte,Buff,Double Weight,8 x 10,,0,,0,0,,v,17.42,,#e2d2b3,,0.072,0.123,5.697,0.271,2.09,1_0_4_6,3.0,1.0,"[-18, 22, 0]","[-36, 37, 0]","[-63, 49, 0]","[-98, 61, 0]","[-141, 73, 0]","[72.0, 87.0, 0]",0
2451,Defender,Argo,1918,0,,Velours,,White,Single Weight,8 x 10,,0,,0,0,,v,10.6,,#dbd5c1,,0.084,,6.261,0.142,,,,0.0,"[576, 769, 0]","[637, 501, 0]","[506, 639, 0]","[734, 605, 0]","[538, 714, 0]","[691, 605, 0]",0
2452,Kodak London,Bromide,1945,1,RTF.D.,Fine Grained,Royal,Tinted,Double Weight,6.5 x 8.5,,0,,0,0,,v,,,,,,,,,,,,,"[697, 586, 0]","[529, 722, 0]","[647, 782, 0]","[520, 648, 0]","[677, 719, 0]","[652, 772, 0]",0
2453,Kodak London,Bromesko,1947,1,IVL.D.,Velvet,Luster,Ivory,Double Weight,6.5 x 8.5,,0,,0,0,,v,14.26,,#efe4c9,,0.316,0.024,15.178,0.27,1.709,1_0_3_1,2.0,1.0,"[-8, 8, 0]","[-10, 21, 0]","[-22, 32, 0]","[-34, 40, 0]","[-50, 47, 0]","[27.0, 37.0, 2]",0
2454,Kodak London,Bromesko,1947,1,IFL.D.,Fine Grained,Luster,Ivory,Double Weight,8 x 10,,0,,0,0,,v,16.21,,#eadec0,,0.124,0.048,15.111,0.277,1.824,1_0_4_3,2.0,1.0,"[-17, 1, 0]","[-35, 19, 0]","[-51, 30, 0]","[-81, 28, 0]","[-117, 34, 0]","[67.0, 28.0, 0]",0
2455,Kodak London,Bromide,1948,1,RTF.D.,Fine Grained,Royal,Tinted,Double Weight,8 x 10,,0,,0,0,,v,20.68,,#efddb7,,0.084,0.062,8.241,0.274,1.983,1_0_4_4,3.0,1.0,"[-26, 15, 0]","[-37, 26, 0]","[-59, 26, 0]","[-89, 41, 0]","[-124, 48, 0]","[64.0, 37.0, 0]",0
2456,Kodak London,Bromide,1947,1,WVL.S.,Velvet,Luster,White,Single Weight,6.5 x 8.5,,0,,0,0,,v,2.04,,#e7e4e1,,0.171,0.024,14.139,0.19,1.361,0_0_1_1,1.0,0.0,"[11, -11, 0]","[33, 13, 0]","[71, 18, 0]","[111, 20, 0]","[151, 21, 0]","[69.0, 42.0, 0]",0
2457,Kodak London,Bromide,1948,1,RSW,Fine Grained,Royal,Snow White,Double Weight,6.5 x 8.5,,0,,0,0,,v,7.76,,#efeadc,,0.193,0.048,9.125,0.277,1.68,1_0_2_3,2.0,1.0,"[-10, -1, 0]","[1, 46, 0]","[10, 37, 0]","[26, 52, 0]","[35, 64, 0]","[64.0, 36.0, 0]",0
2458,Kodak London,Bromesko,1947,1,IFL.D.,Fine Grained,Luster,Ivory,Double Weight,8 x 10,,0,,0,0,,v,14.25,,#ede3c8,,0.134,0.041,13.064,0.271,1.767,1_0_3_3,2.0,1.0,"[-7, 6, 0]","[-17, 27, 0]","[-19, 37, 0]","[-32, 44, 0]","[-47, 52, 0]","[64.0, 48.0, 0]",1
2459,Kodak London,Bromesko,1945,1,67Z,,Luster,Cream,Double Weight,8 x 10,,0,,0,0,,v,19.73,,#f1dfbc,,0.133,0.047,12.42,0.329,1.976,1_0_4_3,3.0,1.0,"[-15, 12, 0]","[-30, 17, 0]","[-52, 24, 0]","[-82, 30, 0]","[-118, 36, 0]","[46.0, 25.0, 1]",0
